Age,Gender,MaritalStatus,Education,EducationField,JobRole,Department,BusinessTravel,MonthlyIncome,DistanceFromHome,JobSatisfaction,JobInvolvement,RelationshipSatisfaction,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Churn
41,Female,Single,College,Life Sciences,Sales Executive,Sales,Travel_Rarely,5993,1,Very High,High,Low,Excellent,6,4,0,5,Yes
49,Male,Married,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,5130,8,Medium,Medium,Very High,Outstanding,10,7,1,7,No
37,Male,Single,College,Other,Laboratory Technician,Research & Development,Travel_Rarely,2090,2,High,Medium,Medium,Excellent,0,0,0,0,Yes
33,Female,Married,Master,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,2909,3,High,High,High,Excellent,8,7,3,0,No
27,Male,Married,Below College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,3468,2,Medium,High,Very High,Excellent,2,2,2,2,No
32,Male,Single,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,3068,2,Very High,High,High,Excellent,7,7,3,6,No
59,Female,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2670,3,Low,Very High,Low,Outstanding,1,0,0,0,No
30,Male,Divorced,Below College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2693,24,High,High,Medium,Outstanding,1,0,0,0,No
38,Male,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Frequently,9526,23,High,Medium,Medium,Outstanding,9,7,1,8,No
36,Male,Married,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Rarely,5237,27,High,High,Medium,Excellent,7,7,7,7,No
35,Male,Married,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2426,16,Medium,Very High,High,Excellent,5,4,0,3,No
29,Female,Single,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,4193,15,High,Medium,Very High,Excellent,9,5,0,8,No
31,Male,Divorced,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2911,26,High,High,Very High,Excellent,5,2,4,3,No
34,Male,Divorced,College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2661,19,Very High,High,High,Excellent,2,2,1,2,No
28,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2028,24,High,Medium,Medium,Excellent,4,2,0,3,Yes
29,Female,Divorced,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,9980,21,Low,Very High,High,Excellent,10,9,8,8,No
32,Male,Divorced,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3298,5,Medium,Very High,Very High,Excellent,6,2,0,5,No
22,Male,Divorced,College,Medical,Laboratory Technician,Research & Development,Non-Travel,2935,16,Very High,Very High,Medium,Excellent,1,0,0,0,No
53,Female,Married,Master,Life Sciences,Manager,Sales,Travel_Rarely,15427,2,Very High,Medium,High,Excellent,25,8,3,7,No
38,Male,Single,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3944,2,Very High,High,High,Excellent,3,2,1,2,No
24,Female,Divorced,College,Other,Manufacturing Director,Research & Development,Non-Travel,4011,11,High,Very High,Very High,Excellent,4,2,1,3,No
36,Male,Single,Master,Life Sciences,Sales Representative,Sales,Travel_Rarely,3407,9,Low,Medium,Medium,Outstanding,5,3,0,3,Yes
34,Female,Single,Master,Life Sciences,Research Director,Research & Development,Travel_Rarely,11994,7,Medium,High,High,Excellent,12,6,2,11,No
21,Male,Single,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,1232,15,Very High,High,Very High,Excellent,0,0,0,0,No
34,Male,Single,Below College,Medical,Research Scientist,Research & Development,Travel_Rarely,2960,6,Low,High,High,Excellent,4,2,1,3,Yes
53,Female,Divorced,Bachelor,Other,Manager,Research & Development,Travel_Rarely,19094,5,High,High,Very High,Excellent,14,13,4,8,No
32,Female,Single,Below College,Life Sciences,Research Scientist,Research & Development,Travel_Frequently,3919,16,Low,Low,Medium,Outstanding,10,2,6,7,Yes
42,Male,Married,Master,Marketing,Sales Executive,Sales,Travel_Rarely,6825,8,Medium,High,Very High,Excellent,9,7,4,2,No
44,Female,Married,Master,Medical,Healthcare Representative,Research & Development,Travel_Rarely,10248,7,Very High,Medium,Very High,Excellent,22,6,5,17,No
46,Female,Single,Master,Marketing,Manager,Sales,Travel_Rarely,18947,2,Low,High,Very High,Excellent,2,2,2,1,No
33,Male,Single,Bachelor,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2496,2,Very High,High,Very High,Excellent,1,1,0,0,No
44,Male,Married,Master,Other,Healthcare Representative,Research & Development,Travel_Rarely,6465,10,Very High,High,Very High,Excellent,4,2,1,3,No
30,Male,Single,College,Medical,Laboratory Technician,Research & Development,Travel_Rarely,2206,9,High,Medium,Low,Excellent,10,0,1,8,No
39,Male,Married,Bachelor,Technical Degree,Sales Representative,Sales,Travel_Rarely,2086,5,Very High,High,High,Excellent,1,0,0,0,Yes
24,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2293,1,Very High,High,Low,Excellent,2,0,2,0,Yes
43,Female,Divorced,College,Medical,Research Scientist,Research & Development,Travel_Rarely,2645,2,High,Very High,Very High,Excellent,5,3,1,4,No
50,Male,Married,College,Marketing,Sales Representative,Sales,Travel_Rarely,2683,3,High,Medium,High,Excellent,3,2,0,2,Yes
35,Female,Married,Bachelor,Marketing,Sales Representative,Sales,Travel_Rarely,2014,2,Very High,High,Low,Excellent,2,2,2,2,No
36,Female,Married,Master,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3419,5,Low,Medium,Very High,Excellent,1,1,0,0,No
33,Female,Married,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Frequently,5376,1,Low,Very High,Low,Excellent,5,3,1,3,No
35,Male,Divorced,College,Other,Laboratory Technician,Research & Development,Travel_Rarely,1951,4,Very High,High,High,Excellent,1,0,0,0,No
27,Female,Divorced,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2341,2,Low,High,Very High,Excellent,1,0,0,0,No
26,Male,Single,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2293,25,High,Low,High,Excellent,1,0,0,1,Yes
27,Male,Single,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Frequently,8726,8,High,High,Very High,Excellent,9,8,1,7,No
30,Female,Single,College,Medical,Laboratory Technician,Research & Development,Travel_Frequently,4011,1,Very High,High,Very High,Outstanding,12,8,3,7,No
41,Female,Married,Bachelor,Technical Degree,Research Director,Research & Development,Travel_Rarely,19545,12,High,High,Very High,Excellent,22,15,15,8,Yes
34,Male,Single,Master,Marketing,Sales Executive,Sales,Non-Travel,4568,23,High,High,High,Outstanding,9,5,8,7,No
37,Male,Married,College,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,3022,19,Medium,High,Low,Outstanding,1,0,0,0,No
46,Male,Single,Master,Marketing,Sales Executive,Sales,Travel_Frequently,5772,5,Very High,High,High,Outstanding,9,6,0,8,No
35,Male,Married,Below College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2269,8,Very High,Very High,Very High,Excellent,1,0,0,1,No
48,Male,Single,College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,5381,1,High,Medium,Very High,Excellent,1,0,0,0,Yes
28,Male,Single,Master,Technical Degree,Laboratory Technician,Research & Development,Travel_Rarely,3441,5,High,High,High,Excellent,2,2,2,2,Yes
44,Female,Divorced,Doctor,Marketing,Sales Executive,Sales,Travel_Rarely,5454,1,Low,High,High,Outstanding,4,3,1,3,No
35,Male,Married,College,Medical,Healthcare Representative,Research & Development,Non-Travel,9884,11,Low,Medium,High,Excellent,4,0,2,3,No
26,Female,Married,Bachelor,Marketing,Sales Executive,Sales,Travel_Rarely,4157,23,Very High,Medium,High,Excellent,2,2,0,0,No
33,Female,Single,College,Life Sciences,Research Director,Research & Development,Travel_Frequently,13458,1,Very High,High,High,Excellent,15,14,8,12,No
35,Male,Married,Doctor,Life Sciences,Sales Executive,Sales,Travel_Frequently,9069,18,Low,High,Very High,Outstanding,9,8,1,8,No
35,Female,Married,Master,Medical,Laboratory Technician,Research & Development,Travel_Rarely,4014,23,Low,High,High,Excellent,2,2,2,2,No
31,Male,Divorced,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,5915,7,Very High,High,Very High,Outstanding,7,7,1,7,No
37,Male,Divorced,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,5993,1,High,Medium,High,Excellent,7,5,0,7,No
32,Male,Married,Bachelor,Medical,Manufacturing Director,Research & Development,Travel_Rarely,6162,1,Very High,High,Medium,Outstanding,9,8,7,8,No
38,Female,Single,Doctor,Life Sciences,Laboratory Technician,Research & Development,Travel_Frequently,2406,29,Very High,High,Very High,Excellent,10,3,9,9,No
50,Female,Divorced,College,Medical,Research Director,Research & Development,Travel_Rarely,18740,7,High,Medium,Very High,Excellent,27,3,13,8,No
59,Female,Single,Bachelor,Life Sciences,Sales Executive,Sales,Travel_Rarely,7637,25,Low,High,Very High,Excellent,21,16,7,9,No
36,Female,Divorced,Bachelor,Technical Degree,Healthcare Representative,Research & Development,Travel_Rarely,10096,8,High,High,Medium,Excellent,17,14,12,8,No
55,Female,Divorced,Bachelor,Medical,Manager,Research & Development,Travel_Rarely,14756,8,High,High,High,Excellent,5,0,0,2,No
36,Male,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Frequently,6499,11,Medium,Medium,High,Excellent,6,5,0,3,No
45,Male,Divorced,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,9724,7,Low,High,High,Excellent,1,0,0,0,No
35,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Frequently,2194,1,Low,High,Very High,Excellent,3,2,1,2,No
36,Male,Married,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,3388,9,High,Medium,Low,Excellent,1,0,0,0,Yes
59,Female,Single,Below College,Life Sciences,Sales Executive,Sales,Travel_Frequently,5473,1,High,Medium,Very High,Excellent,4,3,1,3,No
29,Male,Married,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,2703,2,Medium,High,Very High,Outstanding,5,4,0,4,No
31,Male,Single,Master,Medical,Research Scientist,Research & Development,Travel_Rarely,2501,1,Medium,High,Medium,Excellent,1,1,1,0,No
32,Male,Married,Bachelor,Life Sciences,Research Scientist,Research & Development,Travel_Rarely,6220,1,Medium,High,Medium,Excellent,10,4,0,9,No
36,Female,Married,Bachelor,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,3038,6,Very High,Very High,Medium,Excellent,1,0,0,0,No
31,Female,Single,Master,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,4424,8,Very High,High,Very High,Outstanding,11,7,1,8,No
35,Male,Single,Master,Marketing,Sales Executive,Sales,Travel_Rarely,4312,1,Low,Medium,Medium,Excellent,15,13,2,8,No
45,Male,Married,Master,Other,Research Director,Research & Development,Travel_Rarely,13245,6,Low,High,Medium,Excellent,0,0,0,0,No
37,Male,Single,Master,Medical,Research Director,Research & Development,Travel_Rarely,13664,7,High,High,Low,Excellent,5,2,0,2,No
46,Male,Divorced,College,Medical,Human Resources,Human Resources,Travel_Rarely,5021,5,Medium,High,Very High,Outstanding,4,2,0,2,No
30,Male,Married,Below College,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,5126,1,Very High,Medium,High,Excellent,10,8,3,0,No
35,Male,Single,Bachelor,Medical,Research Scientist,Research & Development,Travel_Rarely,2859,1,High,Medium,Low,Excellent,6,4,0,4,No
55,Male,Married,College,Life Sciences,Sales Executive,Sales,Travel_Rarely,10239,1,Very High,High,Very High,Excellent,1,0,1,0,No
38,Female,Divorced,Bachelor,Medical,Research Scientist,Research & Development,Non-Travel,5329,6,Very High,Low,Very High,Excellent,13,11,1,9,No
34,Male,Married,College,Medical,Manufacturing Director,Research & Development,Travel_Rarely,4325,1,Medium,High,High,Excellent,5,2,1,3,No
56,Male,Single,Bachelor,Life Sciences,Manufacturing Director,Research & Development,Travel_Rarely,7260,7,Very High,Low,Low,Excellent,6,4,0,2,No
23,Male,Divorced,Below College,Technical Degree,Sales Representative,Sales,Travel_Rarely,2322,2,Low,High,High,Excellent,0,0,0,0,No
51,Male,Married,Master,Life Sciences,Laboratory Technician,Research & Development,Travel_Rarely,2075,9,Very High,High,Medium,Outstanding,4,2,0,3,No
30,Male,Married,Bachelor,Life Sciences,Healthcare Representative,Research & Development,Travel_Rarely,4152,2,Very High,Medium,Low,Excellent,11,10,10,8,No
46,Male,Single,College,Medical,Sales Executive,Sales,Travel_Rarely,9619,9,Very High,Medium,Very High,Excellent,9,8,4,7,Yes
40,Male,Married,Master,Life Sciences,Healthcare Representative,Research & Development,Travel_Frequently,13503,1,Medium,Medium,Very High,Outstanding,22,3,11,11,No
51,Male,Single,Master,Marketing,Sales Executive,Sales,Travel_Rarely,5441,21,Very High,High,Very High,Outstanding,10,7,1,0,No
30,Female,Divorced,College,Medical,Sales Executive,Sales,Travel_Rarely,5209,4,Medium,Medium,Medium,Excellent,11,8,2,7,No
46,Male,Married,Bachelor,Medical,Healthcare Representative,Research & Development,Travel_Frequently,10673,1,Low,Medium,High,Excellent,10,9,9,5,No
32,Male,Single,Master,Medical,Sales Executive,Sales,Travel_Rarely,5010,6,High,High,Low,Excellent,11,8,5,7,No
54,Female,Married,Master,Technical Degree,Research Director,Research & Development,Travel_Rarely,13549,2,High,High,Low,Excellent,4,3,0,3,No
